Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65eb22918dd7dad3b69bf52c,5d801d303f019e001804c468,AWAITING REVIEW,Not Applicable,2024-03-08T14:37:23.124000Z,2024-03-08T14:45:59.089000Z,,2024-03-08T14:45:59.712100Z,516,C21PHUAV,362,Undergraduate degree (BA/BSc/other),28,Female,White,Ireland,Ireland,Ireland,English,Yes,Other
65eb22a8edf08f40789933c3,6568a71084a6f597c4f0e887,AWAITING REVIEW,Not Applicable,2024-03-08T14:37:28.407000Z,2024-03-08T14:38:46.197000Z,,2024-03-08T14:38:46.731039Z,78,C21PHUAV,70,Undergraduate degree (BA/BSc/other),27,Female,Other,Turkey,Australia,Turkey,Turkish,Yes,Part-Time
65eb22bce04c0cede778a562,5ae781e5efcc690001ebf022,AWAITING REVIEW,Not Applicable,2024-03-08T14:37:58.253000Z,2024-03-08T14:51:08.671000Z,,2024-03-08T14:51:09.226761Z,791,C21PHUAV,551,Undergraduate degree (BA/BSc/other),37,Female,White,Croatia,United Kingdom,Croatia,Croatian,No,Full-Time
65eb2337a47849fca886e98b,6571ed82ff0be0217f88ea79,AWAITING REVIEW,Not Applicable,2024-03-08T14:46:24.847000Z,2024-03-08T15:05:06.758000Z,,2024-03-08T15:05:07.201505Z,1122,C21PHUAV,43,Undergraduate degree (BA/BSc/other),29,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
65eb233d05812e2727637d59,5eb126c5f13db7000855c7b7,AWAITING REVIEW,Not Applicable,2024-03-08T14:40:01.290000Z,2024-03-08T14:49:10.990000Z,,2024-03-08T14:49:11.452457Z,550,C21PHUAV,633,Graduate degree (MA/MSc/MPhil/other),28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65eb2362a0c7c796458e9889,5c64981ca98f0700010f8c81,AWAITING REVIEW,Not Applicable,2024-03-08T14:40:36.969000Z,2024-03-08T14:49:02.061000Z,,2024-03-08T14:49:02.578828Z,506,C21PHUAV,1047,Undergraduate degree (BA/BSc/other),30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65eb239037857445d03b6eaa,611162931df90341d92aa708,AWAITING REVIEW,Not Applicable,2024-03-08T14:44:15.084000Z,2024-03-08T14:57:17.318000Z,,2024-03-08T14:57:18.344098Z,783,C21PHUAV,905,Graduate degree (MA/MSc/MPhil/other),35,Female,White,Canada,Canada,Canada,English,No,Full-Time
65eb239db36a62c8683d0068,5de016f1a63c7b0947c54c6b,AWAITING REVIEW,Not Applicable,2024-03-08T14:41:39.121000Z,2024-03-08T15:00:18.258000Z,,2024-03-08T15:03:03.588145Z,1120,C21PHUAV,647,Graduate degree (MA/MSc/MPhil/other),32,Female,White,Russian Federation,United Kingdom,Greece,Greek,Yes,Full-Time
65eb2404d90996c9973d9790,60fad4c0a59d0b05fed0a9f0,AWAITING REVIEW,Not Applicable,2024-03-08T14:43:20.123000Z,2024-03-08T14:50:08.955000Z,,2024-03-08T14:50:09.665355Z,409,C21PHUAV,543,Undergraduate degree (BA/BSc/other),32,Male,White,Canada,Canada,Canada,English,No,Full-Time
65eb241f5aae67e518c946ce,654651ca7a889724c907f144,AWAITING REVIEW,Not Applicable,2024-03-08T14:43:47.895000Z,2024-03-08T15:01:20.922000Z,,2024-03-08T15:03:12.826750Z,1054,C21PHUAV,282,Undergraduate degree (BA/BSc/other),52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb2444b67e8aad2ad64789,5ac3c2d3a3ba7a0001b491df,AWAITING REVIEW,Not Applicable,2024-03-08T14:44:25.117000Z,2024-03-08T14:54:40.530000Z,,2024-03-08T14:54:41.041253Z,616,C21PHUAV,202,Graduate degree (MA/MSc/MPhil/other),33,Male,White,Canada,Canada,Canada,English,Yes,Full-Time
65eb24573f81c3e00acb300f,5e6babd0d0031115b8a7bbbf,AWAITING REVIEW,Not Applicable,2024-03-08T14:44:48.175000Z,2024-03-08T14:58:46.909000Z,,2024-03-08T15:02:59.186712Z,839,C21PHUAV,638,Undergraduate degree (BA/BSc/other),28,Female,White,Australia,Australia,Australia,Other,No,DATA_EXPIRED
65eb245e5aae67e518c946da,5e1f5221e3c71928792856a8,AWAITING REVIEW,Not Applicable,2024-03-08T14:44:56.364000Z,2024-03-08T15:08:01.347000Z,,2024-03-08T15:08:01.829219Z,1385,C21PHUAV,354,Graduate degree (MA/MSc/MPhil/other),56,Male,Asian,Indonesia,Australia,Indonesia,Indonesian,Yes,Full-Time
65eb2484ad8823bedeb03775,57f9238bc786ac00011ebc72,AWAITING REVIEW,Not Applicable,2024-03-08T14:45:38.097000Z,2024-03-08T14:50:16.649000Z,,2024-03-08T14:50:17.199625Z,279,C21PHUAV,970,Graduate degree (MA/MSc/MPhil/other),29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb248a74fadf66a5d1208e,609fe1299099a3d26ab244ed,AWAITING REVIEW,Not Applicable,2024-03-08T14:45:51.091000Z,2024-03-08T14:50:39.722000Z,,2024-03-08T14:50:40.210620Z,289,C21PHUAV,964,Undergraduate degree (BA/BSc/other),22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
65eb24e63f81c3e00acb3048,5ab94e8cf69e940001d8fd25,AWAITING REVIEW,Not Applicable,2024-03-08T14:47:05.277000Z,2024-03-08T14:54:48.128000Z,,2024-03-08T14:54:48.656572Z,463,C21PHUAV,1972,Graduate degree (MA/MSc/MPhil/other),29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb24edcc538057fc79271b,65d0c78cf2eece985d8dd852,AWAITING REVIEW,Not Applicable,2024-03-08T14:47:09.114000Z,2024-03-08T14:52:27.485000Z,,2024-03-08T14:52:28.043546Z,319,C21PHUAV,11,Doctorate degree (PhD/other),35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65eb24f81f55edd3d7eb4611,5b79b92355860100014774f0,AWAITING REVIEW,Not Applicable,2024-03-08T14:47:27.313000Z,2024-03-08T14:57:28.244000Z,,2024-03-08T14:57:28.767568Z,601,C21PHUAV,1628,Graduate degree (MA/MSc/MPhil/other),65,Female,White,Cyprus,United Kingdom,United Kingdom,English,No,Part-Time
65eb252e92818d06d13b383b,63761d26aceed18c21423b5f,AWAITING REVIEW,Not Applicable,2024-03-08T14:48:31.378000Z,2024-03-08T15:10:29.995000Z,,2024-03-08T15:10:30.788961Z,1319,C21PHUAV,394,Undergraduate degree (BA/BSc/other),52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb2541ad8823bedeb037b9,65254b3af924a4b9fdd5487e,AWAITING REVIEW,Not Applicable,2024-03-08T14:48:42.941000Z,2024-03-08T15:00:46.631000Z,,2024-03-08T15:03:09.265478Z,724,C21PHUAV,108,Graduate degree (MA/MSc/MPhil/other),33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb2553a21d0d581ffe0f3d,59dcaf7124d7bf00012f09c4,AWAITING REVIEW,Not Applicable,2024-03-08T14:48:54.886000Z,2024-03-08T14:54:37.467000Z,,2024-03-08T14:54:37.983166Z,343,C21PHUAV,880,Undergraduate degree (BA/BSc/other),45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65eb2558d7f2e3c9aa7d6a92,5fd000fb59f1540347d18088,AWAITING REVIEW,Not Applicable,2024-03-08T14:48:58.838000Z,2024-03-08T14:57:13.412000Z,,2024-03-08T14:57:14.056799Z,495,C21PHUAV,815,Graduate degree (MA/MSc/MPhil/other),38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65eb255d2880512814653196,5987753a644ea4000126f00a,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:08.862000Z,2024-03-08T14:50:05.460000Z,,2024-03-08T14:50:05.942442Z,57,C21PHUAV,1274,Undergraduate degree (BA/BSc/other),36,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb255ff4ca300b44278e74,6107acc592df914a921e2b41,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:50.115000Z,2024-03-08T15:01:15.473000Z,,2024-03-08T15:03:12.338677Z,686,C21PHUAV,983,Undergraduate degree (BA/BSc/other),49,Male,White,Ireland,Ireland,Ireland,English,Yes,Full-Time
65eb256315777a67065e0886,65522d468dbf46efb1da11ad,AWAITING REVIEW,Not Applicable,2024-03-08T14:50:12.578000Z,2024-03-08T14:52:24.138000Z,,2024-03-08T14:52:24.608021Z,132,C21PHUAV,148,Undergraduate degree (BA/BSc/other),39,Female,Mixed,Australia,Australia,Australia,English,No,Part-Time
65eb2565b36a62c8683d00d8,5f60fad1438cb2026e428741,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:17.084000Z,2024-03-08T14:59:08.217000Z,,2024-03-08T15:03:00.292094Z,592,C21PHUAV,1131,Undergraduate degree (BA/BSc/other),62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb2569a0d61fa7e9e67bca,5ad23186d9f7470001db1a6f,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:19.002000Z,2024-03-08T14:58:17.073000Z,,2024-03-08T15:58:40.510406Z,539,C21PHUAV,970,Undergraduate degree (BA/BSc/other),42,Female,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
65eb256ee89908f27d3d0137,5fcf580e38a75a2824e4cebd,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:22.748000Z,2024-03-08T14:53:38.183000Z,,2024-03-08T14:53:38.728331Z,256,C21PHUAV,633,Doctorate degree (PhD/other),28,Female,Asian,France,United Kingdom,United Kingdom,Tamil,DATA_EXPIRED,DATA_EXPIRED
65eb257e14a4b1409ac97b5e,6063975d511dda8e117087a0,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:44.338000Z,2024-03-08T15:08:21.777000Z,,2024-03-08T15:08:22.316549Z,1118,C21PHUAV,97,Undergraduate degree (BA/BSc/other),41,Female,White,Grenada,Ireland,Ireland,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb2583b139d0170b6531aa,5b73083415d03a0001ea316b,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:44.536000Z,2024-03-08T15:01:25.203000Z,,2024-03-08T15:03:13.096182Z,701,C21PHUAV,462,Graduate degree (MA/MSc/MPhil/other),51,Male,White,South Africa,Canada,Canada,English,No,Full-Time
65eb25843f81c3e00acb3079,6111a7ef0b637b8d0eca2053,AWAITING REVIEW,Not Applicable,2024-03-08T14:49:45.387000Z,2024-03-08T14:57:18.209000Z,,2024-03-08T14:57:19.084640Z,453,C21PHUAV,42,Graduate degree (MA/MSc/MPhil/other),36,Female,White,Canada,Canada,Canada,English,No,DATA_EXPIRED
65eb2591f5329f41516179a3,561b6038811d220005f31397,AWAITING REVIEW,Not Applicable,2024-03-08T14:50:03.323000Z,2024-03-08T14:55:53.834000Z,,2024-03-08T14:55:54.375239Z,351,C21PHUAV,576,Graduate degree (MA/MSc/MPhil/other),58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb25a14e91e8adcf0ca728,63ea52773c5861d1f32c4bdb,AWAITING REVIEW,Not Applicable,2024-03-08T14:50:14.572000Z,2024-03-08T14:56:44.699000Z,,2024-03-08T14:56:45.213120Z,391,C21PHUAV,325,Undergraduate degree (BA/BSc/other),30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65eb25a261ce9003d455b55e,5ebc3097a9c38504ebd8a347,AWAITING REVIEW,Not Applicable,2024-03-08T14:50:14.825000Z,2024-03-08T14:57:26.237000Z,,2024-03-08T14:57:26.742981Z,432,C21PHUAV,1197,Undergraduate degree (BA/BSc/other),40,Male,White,Canada,Canada,Canada,English,No,Full-Time
65eb25a20d690c4dc9e67bd0,6550e6fb13ddde4c80844b28,AWAITING REVIEW,Not Applicable,2024-03-08T14:50:10.867000Z,2024-03-08T14:51:45.387000Z,,2024-03-08T14:51:45.860222Z,95,C21PHUAV,179,Undergraduate degree (BA/BSc/other),29,Female,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
65eb25a5ac3068c6b49511a3,64637fa7bb9009a7f1d5a813,AWAITING REVIEW,Not Applicable,2024-03-08T14:50:36.898000Z,2024-03-08T14:51:42.653000Z,,2024-03-08T14:51:44.707253Z,66,C21PHUAV,196,Undergraduate degree (BA/BSc/other),66,Male,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb25d4ac3068c6b49511aa,65dc9d325eac429823cfd2e2,AWAITING REVIEW,Not Applicable,2024-03-08T14:51:19.870000Z,2024-03-08T14:52:06.598000Z,,2024-03-08T14:52:07.196507Z,47,C21PHUAV,16,Graduate degree (MA/MSc/MPhil/other),27,Female,Asian,Canada,Canada,Canada,English,No,Full-Time
65eb25e0ffd9291dbe42bd35,659d51de867f9aeeb94d5088,AWAITING REVIEW,Not Applicable,2024-03-08T14:51:15.556000Z,2024-03-08T14:51:56.982000Z,,2024-03-08T14:51:57.704053Z,42,C21PHUAV,70,Undergraduate degree (BA/BSc/other),44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb25e1c6ce80fa96ba27b0,6273f19f518433b9251d25c1,AWAITING REVIEW,Not Applicable,2024-03-08T14:51:18.958000Z,2024-03-08T15:04:19.149000Z,,2024-03-08T15:04:19.542112Z,781,C21PHUAV,309,Doctorate degree (PhD/other),30,Male,Asian,India,United Kingdom,India,English,DATA_EXPIRED,DATA_EXPIRED
65eb25e681543353d8dc3c91,5f0049efc573a300096568f7,AWAITING REVIEW,Not Applicable,2024-03-08T14:51:21.166000Z,2024-03-08T15:07:29.355000Z,,2024-03-08T15:07:30.604544Z,969,C21PHUAV,1362,Undergraduate degree (BA/BSc/other),65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb25eb08c0828ed0b7dbc9,5ed6af4410492f107f27fddb,AWAITING REVIEW,Not Applicable,2024-03-08T14:51:33.798000Z,2024-03-08T15:04:18.838000Z,,2024-03-08T15:04:19.430515Z,766,C21PHUAV,523,Graduate degree (MA/MSc/MPhil/other),36,Female,White,Poland,United Kingdom,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65eb260211a25e4a97951197,64fa090ac2bdbbeee264feed,AWAITING REVIEW,Not Applicable,2024-03-08T14:51:54.649000Z,2024-03-08T15:02:07.061000Z,,2024-03-08T15:03:14.815386Z,613,C21PHUAV,87,Undergraduate degree (BA/BSc/other),54,Female,White,Cyprus,Ireland,Ireland,English,No,Full-Time
65eb2604d601bbd3d2f83314,6118c7d391842b7fb85ec5c7,AWAITING REVIEW,Not Applicable,2024-03-08T14:52:32.914000Z,2024-03-08T14:55:00.079000Z,,2024-03-08T14:55:00.632621Z,148,C21PHUAV,421,Undergraduate degree (BA/BSc/other),28,Male,White,United Kingdom,United Kingdom,Iran,Farsi,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb261c37857445d03b6f72,5acfdb527677430001c8f1e9,AWAITING REVIEW,Not Applicable,2024-03-08T14:52:17.407000Z,2024-03-08T14:59:38.154000Z,,2024-03-08T15:03:01.822933Z,441,C21PHUAV,2244,Graduate degree (MA/MSc/MPhil/other),26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65eb262fe89908f27d3d0189,62cd6efa6212ae6777eb7db1,AWAITING REVIEW,Not Applicable,2024-03-08T14:52:35.624000Z,2024-03-08T14:59:27.261000Z,,2024-03-08T15:03:00.984834Z,412,C21PHUAV,821,Undergraduate degree (BA/BSc/other),46,Female,White,United States,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
65eb263b872e02b4a07982fa,5d4960da4f91710019d9fc14,AWAITING REVIEW,Not Applicable,2024-03-08T14:52:47.888000Z,2024-03-08T14:57:56.947000Z,,2024-03-08T14:57:58.570343Z,310,C21PHUAV,659,Doctorate degree (PhD/other),53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb264986187bd19631a4b6,6522a9d746012431e9216d5b,AWAITING REVIEW,Not Applicable,2024-03-08T14:53:07.453000Z,2024-03-08T14:54:21.382000Z,,2024-03-08T14:54:21.961321Z,74,C21PHUAV,34,Undergraduate degree (BA/BSc/other),68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
65eb266c71dabeb0c788c6f4,634e7e0695471fa84bfe5f2f,AWAITING REVIEW,Not Applicable,2024-03-08T14:53:50.685000Z,2024-03-08T14:59:28.677000Z,,2024-03-08T15:03:00.988202Z,338,C21PHUAV,600,Undergraduate degree (BA/BSc/other),26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb2671d7f2e3c9aa7d6ad9,5999aedebbe8480001796677,AWAITING REVIEW,Not Applicable,2024-03-08T14:53:43.660000Z,2024-03-08T14:58:40.326000Z,,2024-03-08T15:02:58.868629Z,297,C21PHUAV,444,Graduate degree (MA/MSc/MPhil/other),40,Female,White,United Kingdom,United Kingdom,United Kingdom,"English, English",No,Part-Time
65eb267fe89908f27d3d01aa,6159ac2d4916fb5916904f5e,AWAITING REVIEW,Not Applicable,2024-03-08T14:53:59.270000Z,2024-03-08T15:12:17.640000Z,,2024-03-08T15:14:19.683506Z,1099,C21PHUAV,191,Undergraduate degree (BA/BSc/other),29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65eb2680d3f281d1eb16a70a,5e9ec8f7e16784000beea696,AWAITING REVIEW,Not Applicable,2024-03-08T14:53:57.031000Z,2024-03-08T14:54:58.918000Z,,2024-03-08T14:54:59.536953Z,62,C21PHUAV,558,Graduate degree (MA/MSc/MPhil/other),24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb2680acf242f26d34a39f,5c84272563805a000149eeac,AWAITING REVIEW,Not Applicable,2024-03-08T14:53:57.401000Z,2024-03-08T15:15:01.179000Z,,2024-03-08T15:15:38.592928Z,1264,C21PHUAV,847,Graduate degree (MA/MSc/MPhil/other),60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb26833f81c3e00acb30f0,6393c3b735fe0448935673d5,AWAITING REVIEW,Not Applicable,2024-03-08T14:54:00.126000Z,2024-03-08T14:54:43.948000Z,,2024-03-08T14:54:44.518544Z,44,C21PHUAV,349,Graduate degree (MA/MSc/MPhil/other),29,Male,Asian,Australia,Australia,Australia,English,Yes,Full-Time
65eb26a47b102edfe495ad6e,5f02e4ccf8b6db18a3a60ccd,AWAITING REVIEW,Not Applicable,2024-03-08T14:54:31.808000Z,2024-03-08T15:00:30.545000Z,,2024-03-08T15:03:07.853929Z,359,C21PHUAV,891,Undergraduate degree (BA/BSc/other),50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb26c8fc33f84a4bda9542,5c4783f5c41b2a000183a24d,AWAITING REVIEW,Not Applicable,2024-03-08T14:55:09.838000Z,2024-03-08T14:57:06.541000Z,,2024-03-08T14:57:07.526056Z,117,C21PHUAV,726,Undergraduate degree (BA/BSc/other),56,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time
65eb26efc6ce80fa96ba2833,60ca20a5bd71514ecaa909ca,AWAITING REVIEW,Not Applicable,2024-03-08T15:04:17.525000Z,2024-03-08T15:06:38.696000Z,,2024-03-08T15:06:39.332283Z,142,C21PHUAV,541,Undergraduate degree (BA/BSc/other),22,Male,White,Russian Federation,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65eb26f6a0c7c796458e99fd,5c561712f9120f0001d29c4d,AWAITING REVIEW,Not Applicable,2024-03-08T14:55:54.579000Z,2024-03-08T14:56:31.599000Z,,2024-03-08T14:56:32.192003Z,38,C21PHUAV,657,Undergraduate degree (BA/BSc/other),29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb27045cc8b96eaa8ffbe3,63bda084d8fb45c4034770b5,AWAITING REVIEW,Not Applicable,2024-03-08T14:56:07.407000Z,2024-03-08T15:02:28.937000Z,,2024-03-08T15:03:16.791535Z,382,C21PHUAV,800,Undergraduate degree (BA/BSc/other),33,Prefer not to say,Asian,Hong Kong,United Kingdom,United Kingdom,Chinese,No,Full-Time
65eb27128391c6763f150747,5b04a22ea496b300013d9409,AWAITING REVIEW,Not Applicable,2024-03-08T14:57:03.809000Z,2024-03-08T15:12:56.567000Z,,2024-03-08T15:15:01.394723Z,953,C21PHUAV,358,Undergraduate degree (BA/BSc/other),37,Female,Mixed,France,United Kingdom,France,French,No,Other
65eb2714a7ccec4364ab6688,575eab31862b0f0006cd7dec,AWAITING REVIEW,Not Applicable,2024-03-08T14:56:25.676000Z,2024-03-08T15:14:10.192000Z,,2024-03-08T15:15:29.182592Z,1065,C21PHUAV,2711,Undergraduate degree (BA/BSc/other),67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65eb2718e7f61aca518c67bc,56bb120a724769000cb7462b,AWAITING REVIEW,Not Applicable,2024-03-08T14:56:28.744000Z,2024-03-08T15:10:49.754000Z,,2024-03-08T16:16:37.941489Z,862,C21PHUAV,550,Undergraduate degree (BA/BSc/other),52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65eb2720e89908f27d3d01e5,59ee565b6100f9000194abbf,AWAITING REVIEW,Not Applicable,2024-03-08T14:56:32.119000Z,2024-03-08T15:05:36.012000Z,,2024-03-08T15:05:36.474169Z,544,C21PHUAV,846,Undergraduate degree (BA/BSc/other),56,Male,White,Portugal,United Kingdom,Portugal,Portuguese,No,Full-Time
65eb27252c3ed516b12ec7b1,5eebc3207c83c63a3a73d77d,AWAITING REVIEW,Not Applicable,2024-03-08T14:56:57.160000Z,2024-03-08T14:57:47.239000Z,,2024-03-08T15:58:08.968471Z,51,C21PHUAV,930,Undergraduate degree (BA/BSc/other),33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65eb272ce7c944fc8c16a74c,6107b5b78f1c05983711a3b7,AWAITING REVIEW,Not Applicable,2024-03-08T14:56:51.694000Z,2024-03-08T15:01:47.396000Z,,2024-03-08T15:03:13.794717Z,296,C21PHUAV,1051,Undergraduate degree (BA/BSc/other),51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65eb272ed3f281d1eb16a735,65d0c8db07667d22ea8dd5a5,AWAITING REVIEW,Not Applicable,2024-03-08T14:58:03.470000Z,2024-03-08T15:07:53.436000Z,,2024-03-08T15:07:54.321875Z,590,C21PHUAV,19,Graduate degree (MA/MSc/MPhil/other),36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
