Text,negative,positive,uncertainty,litigious,strong_modal,weak_modal,constraining
"From Y1 to Y7, budgeted and actual expenses genera",1,0,1,0,1,0,0
I think that the 24% surprised me so I wanted to p,0,0,0,0,0,0,0
"I have included a buffer of Â£20,000 as the previou",0,0,0,0,0,0,0
According to the AI prediction I lowered my predic,1,0,3,0,0,0,0
I have lowered the expenses prediction to build be,0,1,1,0,0,0,0
I have a belief in the abilities of the AI system.,0,0,0,0,0,0,0
AI prediction,0,0,1,0,0,0,0
"I trust the AI more than my calculations, so I gav",0,0,0,0,0,0,0
I have slightly reduced the buffer by reducing it ,2,0,2,0,1,0,0
I decided to drop the figure more after seeing the,1,0,2,0,0,0,0
I lowered the amount as the AI suggested that the ,0,0,2,0,0,1,0
"AI doesnt account for future surprise expenses, so",0,1,0,0,1,0,0
Given the over estimation as proposed by AI I thin,0,0,0,0,1,0,0
