Text,Polarity,Subjectivity,Intensity
"From Y1 to Y7, budgeted and actual expenses genera",0.2,0.4375,0.2
I think that the 24% surprised me so I wanted to p,-0.07037037037037039,0.49259259259259264,0.07037037037037039
"I have included a buffer of Â£20,000 as the previou",-0.16666666666666666,0.16666666666666666,0.16666666666666666
According to the AI prediction I lowered my predic,0.25,0.412962962962963,0.25
I have lowered the expenses prediction to build be,0.5,0.5,0.5
I have a belief in the abilities of the AI system.,0.0,0.0,0.0
AI prediction,0.0,0.0,0.0
"I trust the AI more than my calculations, so I gav",0.08333333333333333,0.3333333333333333,0.08333333333333333
I have slightly reduced the buffer by reducing it ,-0.0038461538461538537,0.35256410256410253,0.0038461538461538537
I decided to drop the figure more after seeing the,0.3666666666666667,0.6666666666666666,0.3666666666666667
I lowered the amount as the AI suggested that the ,0.14875,0.61375,0.14875
"AI doesnt account for future surprise expenses, so",0.2333333333333333,0.2416666666666667,0.2333333333333333
Given the over estimation as proposed by AI I thin,0.1875,0.4375,0.1875
